model,benchmark,config,seed,cell_id,iteration,parent_a,parent_b,ancestor,actual_event,actual_full_val_lift,variant,G1_pass,G1_score_a,G1_score_b,G1_ref_score,G2_agreement,G2_pass,G3_gini,G3_unavailable,G3_pass,layer1_passed,layer1_skip_reason,behavioral_diversity,selected_algo,algo_reason,max_pred_tokens_a,max_pred_tokens_b,predicted_growth_ratio,specialization_split,token_jaccard,final_decision
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,74,3,6,0,accepted,0.020000000000000018,G3_on,False,0.5966666666666667,0.5733333333333334,0.5966666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,731,694,1.709462915601023,,,skip
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,74,3,6,0,accepted,0.020000000000000018,G3_off,False,0.5966666666666667,0.5733333333333334,0.5966666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,731,694,1.709462915601023,,,skip
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,95,3,5,0,accepted,0.030000000000000027,G3_on,True,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.8733333333333333,True,0.3500000000000001,False,True,True,,0.12666666666666668,summarize_before,bloat_risk_growth_over_safe_ratio,731,694,1.6721227621483377,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,95,3,5,0,accepted,0.030000000000000027,G3_off,True,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.8733333333333333,True,,False,True,True,,0.12666666666666668,summarize_before,bloat_risk_growth_over_safe_ratio,731,694,1.6721227621483377,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,128,9,10,2,accepted,-0.040000000000000036,G3_on,False,0.6266666666666667,0.59,0.5966666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.3577901198479976,,,skip
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,128,9,10,2,accepted,-0.040000000000000036,G3_off,False,0.6266666666666667,0.59,0.5966666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.3577901198479976,,,skip
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,189,9,12,3,accepted,-0.033333333333333326,G3_on,True,0.6266666666666667,0.6,0.5966666666666667,0.9066666666666666,True,0.25,False,True,True,,0.09333333333333334,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.3300970873786409,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,189,9,12,3,accepted,-0.033333333333333326,G3_off,True,0.6266666666666667,0.6,0.5966666666666667,0.9066666666666666,True,,False,True,True,,0.09333333333333334,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.3300970873786409,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,191,9,15,1,accepted,-0.00666666666666671,G3_on,False,0.6266666666666667,0.58,0.5916666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.34260391198044,,,skip
gpt-4.1-mini,hotpotqa,combine_all_budget_proportional,0,gpt-4.1-mini/hotpotqa/combine_all_budget_proportional_s0,191,9,15,1,accepted,-0.00666666666666671,G3_off,False,0.6266666666666667,0.58,0.5916666666666667,,True,,False,True,False,G1_parent_strength,0.0,summarize_before,bloat_risk_growth_over_safe_ratio,1433,1433,1.34260391198044,,,skip
gpt-4.1-mini,hotpotqa,combine_all_immediate,0,gpt-4.1-mini/hotpotqa/combine_all_immediate_s0,60,8,9,0,accepted,-0.006666666666666654,G3_on,True,0.38,0.41,0.37,0.8366666666666667,True,0.5,False,True,True,,0.16333333333333333,summarize_before,bloat_risk_growth_over_safe_ratio,611,624,1.8722466960352422,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_immediate,0,gpt-4.1-mini/hotpotqa/combine_all_immediate_s0,60,8,9,0,accepted,-0.006666666666666654,G3_off,True,0.38,0.41,0.37,0.8366666666666667,True,,False,True,True,,0.16333333333333333,summarize_before,bloat_risk_growth_over_safe_ratio,611,624,1.8722466960352422,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_immediate,0,gpt-4.1-mini/hotpotqa/combine_all_immediate_s0,81,8,12,0,rejected,,G3_on,True,0.38,0.6,0.38,0.74,True,0.0,False,True,True,,0.26,summarize_before,bloat_risk_growth_over_safe_ratio,611,731,1.3151193633952254,,,summarize_before
gpt-4.1-mini,hotpotqa,combine_all_immediate,0,gpt-4.1-mini/hotpotqa/combine_all_immediate_s0,81,8,12,0,rejected,,G3_off,True,0.38,0.6,0.38,0.74,True,,False,True,True,,0.26,summarize_before,bloat_risk_growth_over_safe_ratio,611,731,1.3151193633952254,,,summarize_before
